Ticker,Model,Total Profit,ML Accuracy,Last Updated
ADANIPORTS.NS,Decision Tree,0,0.68,2025-08-11 01:15:14
ASIANPAINT.NS,Logistic Regression,0,0.6,2025-08-11 01:15:14
AXISBANK.NS,Logistic Regression,0,0.36,2025-08-11 01:15:15
BAJAJ-AUTO.NS,Decision Tree,0,0.56,2025-08-11 01:15:15
BAJFINANCE.NS,Decision Tree,0,0.68,2025-08-11 01:15:15
BAJAJFINSV.NS,Decision Tree,0,0.52,2025-08-11 01:15:16
BPCL.NS,Decision Tree,0,0.56,2025-08-11 01:15:16
BHARTIARTL.NS,Logistic Regression,0,0.48,2025-08-11 01:15:16
BRITANNIA.NS,Decision Tree,576.3466796875,0.72,2025-08-11 01:15:17
CIPLA.NS,Decision Tree,0,0.52,2025-08-11 01:15:17
COALINDIA.NS,Decision Tree,0,0.56,2025-08-11 01:15:17
DIVISLAB.NS,Decision Tree,0,0.64,2025-08-11 01:15:18
DRREDDY.NS,Decision Tree,0,0.6,2025-08-11 01:15:18
EICHERMOT.NS,Logistic Regression,0,0.6,2025-08-11 01:15:18
GRASIM.NS,Logistic Regression,0,0.6,2025-08-11 01:15:19
HCLTECH.NS,Decision Tree,0,0.48,2025-08-11 01:15:19
HDFCBANK.NS,Logistic Regression,0,0.48,2025-08-11 01:15:19
HDFCLIFE.NS,Decision Tree,0,0.52,2025-08-11 01:15:20
HEROMOTOCO.NS,Decision Tree,0,0.72,2025-08-11 01:15:20
HINDALCO.NS,Logistic Regression,0,0.52,2025-08-11 01:15:20
HINDUNILVR.NS,Decision Tree,0,0.6,2025-08-11 01:15:21
ICICIBANK.NS,Logistic Regression,0,0.68,2025-08-11 01:15:21
ITC.NS,Logistic Regression,0,0.56,2025-08-11 01:15:21
INDUSINDBK.NS,Logistic Regression,0,0.6,2025-08-11 01:15:22
INFY.NS,Logistic Regression,0,0.56,2025-08-11 01:15:22
JSWSTEEL.NS,Logistic Regression,0,0.6,2025-08-11 01:15:22
KOTAKBANK.NS,Logistic Regression,0,0.52,2025-08-11 01:15:23
LT.NS,Logistic Regression,0,0.6,2025-08-11 01:15:23
M&M.NS,Logistic Regression,0,0.56,2025-08-11 01:15:23
MARUTI.NS,Logistic Regression,0,0.52,2025-08-11 01:15:24
NTPC.NS,Logistic Regression,0,0.52,2025-08-11 01:15:24
NESTLEIND.NS,Decision Tree,0,0.52,2025-08-11 01:15:24
ONGC.NS,Logistic Regression,0,0.56,2025-08-11 01:15:25
POWERGRID.NS,Logistic Regression,0,0.6,2025-08-11 01:15:25
RELIANCE.NS,Logistic Regression,0,0.4,2025-08-11 01:15:25
SBILIFE.NS,Logistic Regression,0,0.64,2025-08-11 01:15:26
SBIN.NS,Decision Tree,0,0.48,2025-08-11 01:15:26
SUNPHARMA.NS,Decision Tree,0,0.56,2025-08-11 01:15:26
TCS.NS,Logistic Regression,0,0.6,2025-08-11 01:15:27
TATACONSUM.NS,Logistic Regression,0,0.32,2025-08-11 01:15:27
TATAMOTORS.NS,Logistic Regression,0,0.6,2025-08-11 01:15:27
TATASTEEL.NS,Logistic Regression,0,0.68,2025-08-11 01:15:28
TECHM.NS,Decision Tree,0,0.56,2025-08-11 01:15:28
TITAN.NS,Decision Tree,0,0.56,2025-08-11 01:15:28
ULTRACEMCO.NS,Decision Tree,2071.419921875,0.6,2025-08-11 01:15:29
UPL.NS,Decision Tree,0,0.6,2025-08-11 01:15:29
WIPRO.NS,Decision Tree,0,0.48,2025-08-11 01:15:30
LICHSGFIN.NS,Logistic Regression,0,0.36,2025-08-11 01:15:30
TATAELXSI.NS,Logistic Regression,0,0.72,2025-08-11 01:15:30
ADANIGREEN.NS,Decision Tree,0,0.56,2025-08-11 01:15:31
